time,query_image,rank,caption,owner_image,score
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,1,A photo of An older girl and a younger girl playing barefoot in a puddle,2706430695_3b5667741c.jpg,0.315782368183136
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,2,A photo of Two girls stand in a puddle on a sidewalk .,2706430695_3b5667741c.jpg,0.29978111386299133
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,3,A photo of Two girls in denim shorts stand in a puddle of water .,2706430695_3b5667741c.jpg,0.2779465317726135
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,4,A photo of A young girl plays in fountain water .,3484649669_7bfe62080b.jpg,0.2776886224746704
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,5,A photo of A young girl is playing in a fountain of water .,3484649669_7bfe62080b.jpg,0.27404624223709106
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,6,A photo of A child is sitting on the grass by a concrete storm drain .,2432709509_2a4d0c833f.jpg,0.2684701979160309
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,7,A photo of A girl throws stones and watches the lake splash .,3737711435_113ccd0a52.jpg,0.26675745844841003
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,8,A photo of Young woman in a city park near a water feature .,159712188_d530dd478c.jpg,0.2661891579627991
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,9,A photo of Little girl crouches to splash fountain water .,3484649669_7bfe62080b.jpg,0.2650822401046753
20251110_173934,data/Images/2594459477_8ca0121a9a.jpg,10,A photo of A girl stands in a driveway .,2824004868_1fc0a81173.jpg,0.26100295782089233
